#ell		zi	zj	cl_ll
1726.350		1	0	5.0819192073e-11
1726.350		1	1	1.4442253521e-10
1726.350		1	2	1.9765046855e-10
1726.350		2	0	5.8853551142e-11
1726.350		2	1	1.9765046855e-10
1726.350		2	2	3.3710793832e-10
2096.388		0	0	2.0078900801e-11
2096.388		0	1	3.6579294861e-11
2096.388		0	2	4.2470150810e-11
2096.388		1	0	3.6579294861e-11
2096.388		1	1	1.0789511338e-10
2096.388		1	2	1.4916709085e-10
2096.388		2	0	4.2470150810e-11
2096.388		2	1	1.4916709085e-10
2096.388		2	2	2.5848885438e-10
2545.742		0	0	1.4111282907e-11
2545.742		0	1	2.5952572670e-11
2545.742		0	2	3.0184401703e-11
2545.742		1	0	2.5952572670e-11
2545.742		1	1	7.9231117169e-11
2545.742		1	2	1.1069648890e-10
2545.742		2	0	3.0184401703e-11
2545.742		2	1	1.1069648890e-10
2545.742		2	2	1.9578307541e-10
