#ell		zi	zj	cl_gl
1726.350		0	2	5.2360954843e-09
1726.350		1	0	-1.1753768291e-11
1726.350		1	1	2.6846396286e-10
1726.350		1	2	2.2105547041e-09
1726.350		2	0	5.0487554392e-11
1726.350		2	1	1.6922816926e-10
1726.350		2	2	7.5788455672e-10
2096.388		0	0	6.8457877068e-10
2096.388		0	1	2.8510055532e-09
2096.388		0	2	4.0049574611e-09
2096.388		1	0	-8.6255915058e-12
2096.388		1	1	2.1657355481e-10
2096.388		1	2	1.7570330180e-09
2096.388		2	0	3.6445919193e-11
2096.388		2	1	1.2781404422e-10
2096.388		2	2	5.8012854672e-10
2545.742		0	0	4.9347362135e-10
2545.742		0	1	2.1214439260e-09
2545.742		0	2	2.9990735593e-09
2545.742		1	0	-6.2736709266e-12
2545.742		1	1	1.7396600790e-10
2545.742		1	2	1.4003359084e-09
2545.742		2	0	2.5908506026e-11
2545.742		2	1	9.4835991967e-11
2545.742		2	2	4.4596391011e-10
